DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837500...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837500...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837501...
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837501...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Status/OSC/Bridge: {'running': True, 'rx_socket': '44.44.44.165:8020', 'tx_socket': '127.0.0.1:8010', 'routes_count': 0...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Status/SNMP/Bridge enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Status/SNMP/Bridge: {'running': True, 'socket': 'None', 'base_oid': '.1.3.6.1.4.1.65300', 'object_count': 0, 'bridge_mod...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Status/SNMP/Bridge: {'running': True, 'socket': 'None', 'base_oid': '.1.3.6.1.4.1.65300', 'object_count': 0, 'bridge_mod...
DEBUG    | 🎨 UI      | ❓ GUI_MANAGER      | oaGuiElements.Methods.splash_screen | 🔬 SPLASH: Ignition Complete!
DEBUG    | 🎨 UI      | ❓ GUI_MANAGER      | oaGui.Interface.viewport.tab_physical_window | 🖥️🎨 [UI] Reveal main window.
DEBUG    | 🎨 UI      | ❓ GUI_MANAGER      | oaGui.Interface.viewport.tab_physical_window | Attempting to set window maximization attributes...
DEBUG    | 🎨 UI      | ❓ GUI_MANAGER      | oaGui.Interface.viewport.tab_physical_window | Set '-zoomed' attribute for Linux.
DEBUG    | 🎨 UI      | ❓ GUI_MANAGER      | oaGui.Interface.viewport.tab_physical_window | 🖥️🎨 [UI] Main window deiconified.
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Status/MIDI/ActiveInputs: ['Midi Through:Midi Through Port-0 14:0']
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Status/MIDI/ActiveOutputs: ['Midi Through:Midi Through Port-0 14:0', 'RtMidiIn Client:RtMidi input 128:0']
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837502...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837502...
DEBUG    | ⚙️ CORE   | 📡 NMOS_WS          | oaComProtocols.oaComNmos.Core.is07_transport | 📡⚠️ [NMOS-WS] Connection Refused/Not Found
DEBUG    | ⚙️ CORE   | 📡 NMOS_WS          | oaComProtocols.oaComNmos.Core.is07_transport | 📡🔄 [NMOS-WS] Retrying ws://localhost:8085/is07 in 5.0s...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837503...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837503...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837504...
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837504...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837505...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837505...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837506...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837506...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Status/OSC/Bridge: {'running': True, 'rx_socket': '44.44.44.165:8020', 'tx_socket': '127.0.0.1:8010', 'routes_count': 0...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Status/SNMP/Bridge enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Status/SNMP/Bridge: {'running': True, 'socket': 'None', 'base_oid': '.1.3.6.1.4.1.65300', 'object_count': 0, 'bridge_mod...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Status/SNMP/Bridge: {'running': True, 'socket': 'None', 'base_oid': '.1.3.6.1.4.1.65300', 'object_count': 0, 'bridge_mod...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837507...
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837507...
DEBUG    | ⚙️ CORE   | 📡 NMOS_WS          | oaComProtocols.oaComNmos.Core.is07_transport | 📡⚠️ [NMOS-WS] Connection Refused/Not Found
DEBUG    | ⚙️ CORE   | 📡 NMOS_WS          | oaComProtocols.oaComNmos.Core.is07_transport | 📡🔄 [NMOS-WS] Retrying ws://localhost:8085/is07 in 5.0s...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837508...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837508...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837509...
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837509...
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837510...
DEBUG    | ⚙️ CORE   | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661: {'guid': '1333B1C1B37DD661', 'active': True, 'start_ts': 1777837492.8277774, 'timestamp': 1777837510...
DEBUG    | 🎨 UI      | 📡 BROKER           | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🚀 🅾️ 🎹 Ⓢ 🌐 🔗 70 🔥 N V Ⓖ CUSTOM >> OPEN-AIR/System/Config/REST/Status: True
TRACE    | ⚙️ CORE   | 📡 SMPTE2138        | oaComProtocols.oaComSMPTE2138.Managers.smpte2138_bridge_manager | 📥 [ST2138-IN] topic=OPEN-AIR/System/Failover/CORE/Heartbeat/1333B1C1B37DD661 enabled=True
