Family,Model,Verb,Command,Description,SCPI,SCPI (short),Arguments,Arg kind,Arg values,Instance params,Group,Subsystem,Returns,Return type,Return unit,Return fields,SCPI statements,Unverified,File
DMM,34401A,DO,Abort,Abort,:ABORt,:ABOR,,,,,Trigger System,TRIGger,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Auto_Zero_OFF,Auto Zero OFF,:SENSe:ZERO:AUTO OFF,:SENS:ZERO:AUTO OFF,,,,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Auto_Zero_ON,Auto Zero ON,:SENSe:ZERO:AUTO ON,:SENS:ZERO:AUTO ON,,,,,Measurement Parameters,SENSe,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Clear_Display,Clear Display,:DISPlay:TEXT:CLEar,:DISP:TEXT:CLE,,,,,System Utilities,SYSTem,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Clear_Status,Clear Status,*CLS,,,,,,Common Commands,Common,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Do_Back_Goto,Using the Status Registers,BACK:GOTO,,,,,,,BACK,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Calibration_Secure,Do calibration secure,CALibration:SECure,CAL:SEC,,,,,,CAL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Calibration_Secure_Code,Calibration Overview,CALibration:SECure:CODE,CAL:SEC:CODE,,,,,,CAL,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Configure_Frequency,Measurement Configuration,CONF:FREQ,,,,,,,CONF,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Configure_Period,Do configure period,CONFigure:PERiod,CONF:PER,,,,,,CONF,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Configure_Voltage,Do configure voltage,CONF:VOLT,,,,,,,CONF,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Dcv_Dcv,Do dcv dcv,DCV:DCV,,,,,,,DCV,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Frequency_Voltage,Do frequency voltage,FREQuency:VOLTage,FREQ:VOLT,,,,,,FREQ,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Opc,Do opc,*OPC,,,,,,,Common,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Period_Voltage,Do period voltage,PERiod:VOLTage,PER:VOLT,,,,,,PER,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Secure_Code,Calibration Commands,:SECure:CODE,:SEC:CODE,,,,,,SEC,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Sense_Function,Using the CONFigure Command,SENSe:FUNCtion,SENS:FUNC,,,,,,SENS,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_State_Preset,Status Reporting Commands,STATus:PRESet,STAT:PRES,,,,,,STAT,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_System_Beeper,Do system beeper,SYSTem:BEEPer,SYST:BEEP,,,,,,SYST,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_System_Local,RS-232 Interface Commands,SYSTem:LOCal,SYST:LOC,,,,,,SYST,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_System_Remote,RS-232 Interface Commands,SYSTem:REMote,SYST:REM,,,,,,SYST,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_System_Rwlock,RS-232 Interface Commands,SYSTem:RWLock,SYST:RWL,,,,,,SYST,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Text_Clear,System-Related Commands,:TEXT:CLEar,:TEXT:CLE,,,,,,TEXT,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Trg,Do trg,*TRG,,,,,,,Common,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Do_Trigger_Source_Immediate,How to Use the Message Available Bit (MAV),TRIGger:SOURce:IMMediate,TRIG:SOUR:IMM,,,,,,TRIG,,,,,1,yes,DMM/34401A/commands.json
DMM,34401A,DO,Initiate,Initiate,:INITiate,:INIT,,,,,Trigger System,TRIGger,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Reset_Device,Reset Device,*RST,,,,,,Common Commands,Common,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_AC_Current,Select AC Current,:CONFigure:CURRent:AC,:CONF:CURR:AC,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_AC_Volts,Select AC Volts,:CONFigure:VOLTage:AC,:CONF:VOLT:AC,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_Continuity,"Fixed 1 kOhm range, beeper on threshold — no range argument exists for this function",:CONFigure:CONTinuity,:CONF:CONT,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_DC_Current,Select DC Current,:CONFigure:CURRent:DC,:CONF:CURR:DC,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_DC_Volts,Select DC Volts,:CONFigure:VOLTage:DC,:CONF:VOLT:DC,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_Diode,"Fixed 1 mA / 1 V test, likewise argument-free",:CONFigure:DIODe,:CONF:DIOD,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_Resistance_2W,Select Resistance 2W,:CONFigure:RESistance,:CONF:RES,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,DO,Select_Resistance_4W,Select Resistance 4W,:CONFigure:FRESistance,:CONF:FRES,,,,,One command per measurement function,Panel,,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Fetch_Existing,Fetch Existing,:FETCh?,:FETC?,,,,,Fetch data after INITiate,MEASure,1,,,,1,,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Average_Average,Math Operation Commands,:AVERage:AVERage?,:AVER:AVER?,,,,,,AVER,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Average_Count,Math Operation Commands,:AVERage:COUNt?,:AVER:COUN?,,,,,,AVER,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Beeper_State,System-Related Commands,:BEEPer:STATe?,:BEEP:STAT?,,,,,,BEEP,1,BOOL,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_Average_Count,Math Operations,CALCulate:AVERage:COUNt?,CALC:AVER:COUN?,,,,,,CALC,1,NR1,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_Db_Reference,Get calculate db reference,CALCulate:DB:REFerence?,CALC:DB:REF?,,,,,,CALC,1,CRD,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_Function,Get calculate function,CALCulate:FUNCtion?,CALC:FUNC?,,,,,,CALC,1,CRD,,,1,yes,DMM/34401A/commands.json
DMM,34401A,NAB,Get_Calculate_Limit_Lower,Math Operations,CALCulate:LIMit:LOWer?,CALC:LIM:LOW?,,,,,,CALC,1,,,,1,yes,DMM/34401A/commands.json
