Instrument,File,Tab,Panel,Block,Control,Widget type,Binding,YAK verb,YAK command,sub_path,input_name,converter,Literal SCPI,yak_domain,Readout
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Visual_Telemetry_Sector,Primary_Readout,_GuiLabel,readout only,,,,,,READ?,,yes
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Visual_Telemetry_Sector,Trend_Graph,_GuiGraph,literal SCPI,,,,,,DATA:POINts? ALL,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Voltage,Mode_VDC,_GuiButtonToggle,yak_handler,do,Select_DC_Volts,DMM,,,CONF:VOLT:DC,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Voltage,Mode_VAC,_GuiButtonToggle,yak_handler,do,Select_AC_Volts,DMM,,,CONF:VOLT:AC,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Current,Mode_ADC,_GuiButtonToggle,yak_handler,do,Select_DC_Current,DMM,,,CONF:CURR:DC,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Current,Mode_AAC,_GuiButtonToggle,yak_handler,do,Select_AC_Current,DMM,,,CONF:CURR:AC,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Impedance,Mode_RES,_GuiButtonToggle,yak_handler,do,Select_Resistance_2W,DMM,,,CONF:RES,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Impedance,Mode_FRES,_GuiButtonToggle,yak_handler,do,Select_Resistance_4W,DMM,,,CONF:FRES,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Impedance,Mode_CONT,_GuiButtonToggle,yak_handler,do,Select_Continuity,DMM,,,CONF:CONT,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Mode_Matrix_Impedance,Mode_DIODE,_GuiButtonToggle,yak_handler,do,Select_Diode,DMM,,,CONF:DIOD,,
DMM,instrument,,DMM_Instrument,DMM_Main_Station / Precision_Dynamics,Auto_Range_Toggle,_GuiButtonToggle,yak_handler,set,Set_Autorange,DMM,state,bool_on_off,RANG:AUTO <value>,,
