ZONE,GROUP,DEVICE,NAME,FREQ
10 CBC AXIENT MICS,,None - None - G10,,472.55
10 CBC AXIENT MICS,,None - None - G10,,473.525
10 CBC AXIENT MICS,,None - None - G10,,478.55
10 CBC AXIENT MICS,,None - None - G10,,479.05
10 CBC AXIENT MICS,,None - None - G10,,483.15
10 CBC AXIENT MICS,,None - None - G10,,484.225
10 CBC AXIENT MICS,,None - None - G10,,486.075
00.TechStores,,Shure - PSM900 - G7,Shure IEM 1,513.35
00.TechStores,,Shure - PSM900 - G7,Shure IEM 2,514.575
00.TechStores,,None - None - G7,,515.175
00.TechStores,,Shure - PSM900 - G7,Shure IEM 4,525.6
01.STUDIO.55.FLOOR.K,,None - None - 42,,653.075
10.ST.41.ROGERS.IFB15.20,,None - None - G10,,521.325
10.ST.41.ROGERS.IFB15.20,,None - None - G10,,528.775
10.ST.41.ROGERS.MICS.20,,None - None - G57,,599.75
CBC ENG,,None - None - TV14-36,,519.3
CBC ENG,,None - None - TV14-36,,520.2
CBC ENG,,None - None - TV14-36,,520.75
CBC ENG,,None - None - TV14-36,,521.575
CBC ENG,,None - None - TV14-36,,522.925
CBC ENG,,None - None - TV14-36,,524.025
CBC ENG,,None - None - TV14-36,,525.125
CBC ENG,,None - None - TV14-36,,527.0
CBC ENG,,None - None - TV14-36,,527.975
CBC ENG,,None - None - TV14-36,,528.85
01.STUDIO.55.FLOOR.K,,None - None - 43,,654.75
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-21,587.3
06.ST.38.WEATHER CENTER,,Sennheiser - EM 3732-II - L,Sennheiser,588.19
01.STUDIO.55.FLOOR.K,,None - None - 43,,658.025
10.ST.41.ROGERS.IFB.J8E,,None - None - J8E,,616.95
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S1,600.3
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S2,600.7
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S3,601.1
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S4,572.475
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-6,534.3
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-7,535.775
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-5,533.825
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-8,535.175
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-8,533.35
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-7,532.925
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-6,532.525
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-5,531.725
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-01,470.3
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-02,470.7
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-03,471.4
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-04,471.75
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-05,473.925
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-06,474.475
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-07,475.275
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-08,475.775
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-09,476.225
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-10,476.575
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-11,477.575
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-12,477.975
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-13,480.175
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-14,480.625
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-15,481.375
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-16,481.875
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-17,482.3
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-18,482.95
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-19,483.35
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-20,484.9
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-1,530.55
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-2,531.025
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-3,531.65
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-4,532.1
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-3,529.3
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-2,530.05
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-4,534.775
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-1,535.825
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 1,654.45
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 3,656.175
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 5,657.2
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 7,660.45
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 2,661.55
