one,two,three,four,five,six,seven,eight,track
       ,     - ,Mackie ,Control, Univer,sal XT ,-      ,       ,lcd_line_0
       ,       ,       ,       ,       ,       ,       ,       ,lcd_line_1
4781,883,-6998,4050,3397,3944,-7519,-8192,pitchwheel_0
0,0,0,0,0,0,0,0,note_on_0
1,1,1,1,1,1,1,1,note_led_on_0
0,0,0,0,0,0,0,0,note_on_1
1,1,1,1,1,1,1,1,note_led_on_1
0,0,0,0,0,0,0,0,note_on_2
1,1,1,1,1,1,1,1,note_led_on_2
0,0,0,0,0,0,0,0,note_on_3
1,1,1,1,1,1,1,1,note_led_on_3
0,0,0,0,0,0,0,0,note_on_4
0,0,0,0,0,0,0,0,note_led_on_4
0,0,0,0,0,0,0,0,note_on_5
0,0,0,0,0,0,0,0,note_led_on_5
0,0,0,0,0,0,0,0,note_on_6
0,0,0,0,0,0,0,0,note_led_on_6
0,0,0,0,0,0,0,0,note_on_7
0,0,0,0,0,0,0,0,note_led_on_7
0,0,0,0,0,0,0,0,note_on_8
0,0,0,0,0,0,0,0,note_led_on_8
0,0,0,0,0,0,0,0,note_on_9
0,0,0,0,0,0,0,0,note_led_on_9
0,0,0,0,0,0,0,0,note_on_10
0,0,0,0,0,0,0,0,note_led_on_10
0,0,0,0,0,0,0,0,note_on_11
0,0,0,0,0,0,0,0,note_led_on_11
0,0,0,0,0,0,0,0,note_on_12
0,0,0,0,0,0,0,0,note_led_on_12
0,0,0,0,0,0,0,0,note_on_13
0,0,0,0,0,0,0,0,note_led_on_13
0,0,0,0,0,0,0,0,note_on_14
0,0,0,0,0,0,0,0,note_led_on_14
0,0,0,0,0,0,0,0,note_on_15
0,0,0,0,0,0,0,0,note_led_on_15
0,0,0,0,0,0,0,0,control_change_0
0,0,0,0,0,0,0,0,control_change_1
65,0,0,0,0,0,0,0,control_change_2
0,0,0,0,0,0,0,0,control_change_3
0,0,0,0,0,0,0,0,control_change_4
0,0,0,0,0,0,0,0,control_change_5
3,6,6,6,6,6,6,6,control_change_6
0,0,0,0,0,0,0,0,control_change_7
0,0,0,0,0,0,0,0,control_change_8
0,0,0,0,0,0,0,0,control_change_9
0,0,0,0,0,0,0,0,control_change_10
0,0,0,0,0,0,0,0,control_change_11
0,0,0,0,0,0,0,0,control_change_12
0,0,0,0,0,0,0,0,control_change_13
0,0,0,0,0,0,0,0,control_change_14
0,0,0,0,0,0,0,0,control_change_15
