013300.386 | WARNING  | CORE | SYSTEM     | oaPTP.Core.ptp       | ⏱️ PTP Sniffer: [PERMISSION DENIED] Run as root/sudo for raw capture. Sniffer disabled.
013301.462 | WARNING  | UI   | SYSTEM     | oaGuiManager.Core.factory.Core.widget_discovery_engine | ⚠️ Registry class <class 'oaGuiElements.Core.buttons.button_toggle.button_toggle.BuilderButtonToggleCreator'> missing static 'make' method.
013304.478 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013304.479 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013314.725 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013349.537 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.Summing_Groups
013349.538 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.aux_1_4
013349.538 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.pan
013349.542 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.Summing_Groups
013349.542 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.aux_1_4
013349.542 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.pan
013349.546 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.Summing_Groups
013349.546 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.aux_1_4
013349.546 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.pan
013349.549 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.Summing_Groups
013349.549 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.aux_1_4
