003203.865 | WARNING  | CORE | SYSTEM     | oaPTP.ptp            | ⏱️ PTP Sniffer: [PERMISSION DENIED] Run as root/sudo for raw capture. Sniffer disabled.
003207.981 | WARNING  | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_Search | FAILED (IDN Query Error)
003207.982 | WARNING  | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_Search | FAILED (IDN Query Error)
003218.049 | WARNING  | CORE | SYSTEM     | oaComVisa.Visa_Fleet.visa_Search | FAILED (IDN Query Error)
003538.882 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.Summing_Groups
003538.882 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.aux_1_4
003538.882 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.pan
003538.891 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.Summing_Groups
003538.891 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.aux_1_4
003538.891 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.pan
003538.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.Summing_Groups
003538.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.aux_1_4
003538.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.pan
003538.903 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.Summing_Groups
003538.903 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.aux_1_4
003538.904 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.pan
003538.915 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.Summing_Groups
003538.915 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.aux_1_4
003538.915 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.pan
003538.926 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.Summing_Groups
003538.926 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.aux_1_4
003538.926 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.pan
003538.931 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.Summing_Groups
003538.931 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.aux_1_4
003538.931 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.pan
003538.935 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.Summing_Groups
003538.935 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.aux_1_4
003538.936 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.pan
003540.846 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.Summing_Groups
003540.846 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.aux_1_4
003540.846 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.pan
003540.867 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.Summing_Groups
003540.867 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.aux_1_4
003540.868 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.pan
003540.878 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.Summing_Groups
003540.878 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.aux_1_4
003540.878 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.pan
003540.892 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.Summing_Groups
003540.892 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.aux_1_4
003540.892 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.pan
003540.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.Summing_Groups
003540.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.aux_1_4
003540.898 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.pan
003540.903 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.Summing_Groups
003540.903 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.aux_1_4
003540.903 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.pan
003540.909 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.Summing_Groups
003540.909 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.aux_1_4
003540.909 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.pan
003540.914 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.Summing_Groups
003540.914 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.aux_1_4
003540.914 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.pan
003549.647 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch9.fields.Summing_Groups
003549.647 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch9.fields.aux_1_4
003549.647 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch9.fields.pan
003549.652 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch10.fields.Summing_Groups
003549.652 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch10.fields.aux_1_4
003549.652 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch10.fields.pan
003549.656 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch11.fields.Summing_Groups
003549.656 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch11.fields.aux_1_4
003549.657 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch11.fields.pan
003549.660 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch12.fields.Summing_Groups
003549.660 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch12.fields.aux_1_4
003549.660 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch12.fields.pan
003549.664 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch13.fields.Summing_Groups
003549.664 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch13.fields.aux_1_4
003549.664 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch13.fields.pan
003549.668 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch14.fields.Summing_Groups
003549.668 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch14.fields.aux_1_4
003549.668 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch14.fields.pan
003549.674 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch15.fields.Summing_Groups
003549.674 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch15.fields.aux_1_4
003549.674 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch15.fields.pan
003549.680 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch16.fields.Summing_Groups
003549.680 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch16.fields.aux_1_4
003549.680 | ERROR    | UI   | SYSTEM     | oaGuiBuild.core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch16.fields.pan
003559.751 | WARNING  | UI   | SYSTEM     | oaComSNMP.snmp       | 🌐 SNMP Bridge Offline.
