011211.622 | DEBUG    | SUP  | SYSTEM     | oaConfiguration.Managers.config_reader | 📜 [CONFIG] Loaded: Version 20251225, Debug: True
011211.622 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Launching OPEN-AIR Partitions... (Mission Critical: False)
011211.622 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Session Identity established (Randomized): 504F5B1439345BEF
011211.622 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition B (UI)...
011211.623 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition A (Core)...
011211.623 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: System Running. Monitoring child processes...
011212.123 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: 🛑 Core exited (Code 1). Shutting down.
011212.123 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Terminating child processes...
011212.123 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Supervisor shutdown complete. Goodbye.
011251.288 | DEBUG    | UI   | SYSTEM     | oaConfiguration.Methods.console_encoder | ⏩ Not on Windows ('nt'), skipping console encoding reconfiguration.
011251.288 | SUCCESS  | UI   | SYSTEM     | oaConfiguration.Methods.console_encoder | ✅ Exiting configure_console_encoding.
011251.288 | DEBUG    | UI   | SYSTEM     | __main__             | 🖥️🎨 [UI] Starting OpenAir UI Service...
011251.272 | DEBUG    | CORE | SYSTEM     | oaConfiguration.Methods.console_encoder | ⏩ Not on Windows ('nt'), skipping console encoding reconfiguration.
011251.276 | SUCCESS  | CORE | SYSTEM     | oaConfiguration.Methods.console_encoder | ✅ Exiting configure_console_encoding.
011251.276 | DEBUG    | CORE | SYSTEM     | __main__             | ⚡🛡️⚙️ [CORE] Starting OpenAir Core Service...
011251.276 | DEBUG    | CORE | SYSTEM     | oaWatchdog.watchdog  | 🐕⏳🔋 [WATCHDOG] Started (Timeout: 120.0s)
011251.276 | DEBUG    | CORE | SYSTEM     | oaStateCache.cache_io_handler | 💾📖 Reading Cache.
011251.276 | DEBUG    | CORE | SYSTEM     | oaStateCache.cache_io_handler | 💾📄 No cache file found.
011251.276 | INFO     | CORE | DATA       | oaStateCache.state_cache | 💾✨ First boot detected. Starting with fresh cache.
011251.276 | DEBUG    | CORE | DATA       | oaStateCache.state_cache | 🧠💾 [CACHE] Initialized with 0 entries.
011251.276 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Beginning CORE manager launch sequence...
011251.276 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Initializing core instances...
011251.276 | INFO     | CORE | LOG_FILTER | oaLogging.Managers.log_filter_engine | Setting up MQTT subscription for dynamic log filtering on topic: OPEN-AIR/system/logger/filter/set
011251.276 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/system/logger/filter/set
011251.276 | INFO     | CORE | SYSTEM     | oaLogging.Managers.log_filter_engine | LogFilterEngine initialized and subscribed to MQTT topic.
011251.278 | DEBUG    | CORE | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] SPLINKER on OPEN-AIR/System/Status/Splinker/List: []
011251.282 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Control/Broker/Delete/#
011251.282 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Control/Broker/Service/#
011251.282 | DEBUG    | CORE | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Status/Fleet/Complete
